ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Pech-1_i-1,,Pech,1_i,tàs,tàs,t à s,,Holt1999,,,^ t às $,default
Damana-1_i-1,,Damana,1_i,ra,ra,r a,,Huber1992,,,^ r a $,default
Ika-1_i-1,,Ika,1_i,"nən, ˈnəʔən",nən,n ə n,,Huber1992,,,^ n ə n $,default
Kogi-1_i-1,,Kogi,1_i,ˈnəs,ˈnəs,n ə s,,Huber1992,,,^ ˈn ə s $,default
Bari-1_i-1,,Bari,1_i,naj,naj,n a j,,Huber1992,,,^ n a j $,default
Chimila-1_i-1,,Chimila,1_i,/naaɾiʔ/ ,/naaɾiʔ/,n aa ɾ i ʔ,,Huber1992,,,^ / n aa ɾ i ʔ / $,default
Kuna-1_i-1,,Kuna,1_i,an,an,a n,,Holmer1952,,,^ a n $,default
Muisca-1_i-1,,Muisca,1_i,<hycha>,<hycha>,h y tʃ a,,GonzalezDePerez1992,,,^ < h y ch a > $,default
Tunebo-1_i-1,,Tunebo,1_i,"asa, asá",asa,a s a,,Headland1997,,,^ a s a $,default
Buglere-1_i-1,,Buglere,1_i,ˈʧa ,ˈʧa,tʃ a,,Quesada2012,,,^ ˈʧ a $,default
Guaymi-1_i-1,,Guaymi,1_i,"ti, tie ",ti,t i,,QuesadaPacheco2008,,,^ t i $,default
Chumulu-1_i-1,,Chumulu,1_i,<kura>,<kura>,k u r a,,Pinart1890,,,^ < k u r a > $,default
Gualaca-1_i-1,,Gualaca,1_i,<kura> ,<kura>,k u r a,,Pinart1890,,,^ < k u r a > $,default
Bribri-1_i-1,,Bribri,1_i,"[ɟɛ́(ʔ)] (A, C)",[ɟɛ́],ɟ ɛ́,,Chevrier2017,,,^ [ ɟ ɛ́ ] $,default
Cabecar-1_i-1,,Cabecar,1_i,ʤís,ʤís,dʒ í s,,MargeryPena1989,,,^ ʤ í s $,default
Terraba-1_i-1,,Terraba,1_i,tʰa,tʰa,tʰ a,,Constenla2007,,,^ tʰ a $,default
Boruca-1_i-1,,Boruca,1_i,"át, át ki, aŋ ",át,á t,,QuesadaPacheco1999,,,^ á t $,default
Guatuso-1_i-1,,Guatuso,1_i,toːti,toːti,t oː t i,,Constenla1975,,,^ t oː t i $,default
Rama-1_i-1,,Rama,1_i,"naas, nah",naas,n aa s,,CIDCA1987,,,^ n aa s $,default
Pech-207_yousingular-1,,Pech,207_yousingular,pa,pa,p a,,Holt1999,,,^ p a $,default
Damana-207_yousingular-1,,Damana,207_yousingular,ma,ma,m a,,Huber1992,,,^ m a $,default
Ika-207_yousingular-1,,Ika,207_yousingular,ma,ma,m a,,Huber1992,,,^ m a $,default
Kogi-207_yousingular-1,,Kogi,207_yousingular,ˈma,ˈma,m a,,Huber1992,,,^ ˈm a $,default
Bari-207_yousingular-1,,Bari,207_yousingular,bai,bai,b a i,,Huber1992,,,^ b a i $,default
Chimila-207_yousingular-1,,Chimila,207_yousingular,/ammaʔ/ ,/ammaʔ/,a m m a ʔ,,Huber1992,,,^ / a mm a ʔ / $,default
Kuna-207_yousingular-1,,Kuna,207_yousingular,pe,pe,p e,,Holmer1952,,,^ p e $,default
Muisca-207_yousingular-1,,Muisca,207_yousingular,<mue>,<mue>,m u e,,GonzalezDePerez1992,,,^ < m u e > $,default
Tunebo-207_yousingular-1,,Tunebo,207_yousingular,baʔa ,baʔa,b a ʔ a,,Headland1997,,,^ b a ʔ a $,default
Buglere-207_yousingular-1,,Buglere,207_yousingular,ˈba,ˈba,b a,,Quesada2012,,,^ ˈb a $,default
Guaymi-207_yousingular-1,,Guaymi,207_yousingular,"mɔ, mũ, ni",mɔ,m ɔ,,QuesadaPacheco2008,,,^ m ɔ $,default
Chumulu-207_yousingular-1,,Chumulu,207_yousingular,<ba> ,<ba>,b a,,Pinart1890,,,^ < b a > $,default
Gualaca-207_yousingular-1,,Gualaca,207_yousingular,"<koné>, <ba> ",<koné>,k o n é,,Pinart1890,,,^ < k o n é > $,default
Bribri-207_yousingular-1,,Bribri,207_yousingular,[bɛ́(ʔ)],[bɛ́],b ɛ́,,Chevrier2017,,,^ [ b ɛ́ ] $,default
Cabecar-207_yousingular-1,,Cabecar,207_yousingular,bá,bá,b á,,MargeryPena1989,,,^ b á $,default
Terraba-207_yousingular-1,,Terraba,207_yousingular,ɸa,ɸa,ɸ a,,Constenla2007,,,^ ɸ a $,default
Boruca-207_yousingular-1,,Boruca,207_yousingular,"ba, baʔ, bá ki, baŋ ",ba,b a,,QuesadaPacheco1999,,,^ b a $,default
Guatuso-207_yousingular-1,,Guatuso,207_yousingular,puoː,puoː,p u oː,,Constenla1975,,,^ p u oː $,default
Rama-207_yousingular-1,,Rama,207_yousingular,maa,maa,m aa,,CIDCA1987,,,^ m aa $,default
