ID,Name,Glottocode,Source
Atanques,Atanques,kank1244,Celedon1892
Bari,Barí,bari1297,Huber1992
Boruca,Boruca,boru1252,QuesadaPacheco1999
Bribri,Bribri,brib1243,Chevrier2017
Buglere,Bocotá,bugl1243,Quesada2012
Cabecar,Cabécar,cabe1245,MargeryPena1989
Changuena,Chánguena,chan1324,Pinart1890
Chimila,Chimila,chim1309,Huber1992
Chumulu,Chumulu,,Pinart1890
Damana,Damana,mala1522,Huber1992
Dorasque,Dorace,dora1242,Constenla1985
Duit,Duit,duit1239,Uricoechea1871
Gualaca,Gualaca,,Pinart1890
Guatuso,Guatuso,male1297,Constenla1975
Guaymi,Guaymí,ngab1239,QuesadaPacheco2008
Huetar,Huetar,huet1235,QuesadaPacheco1996
Ika,Ika,arhu1242,Huber1992
Kogi,Kogi,cogu1240,Huber1992
Kuna,Kuna,kuna1280,Holmer1952
Muisca,Muisca,chib1270,GonzalezDePerez1992
Nutabe,Nutabe,anti1242,Rivet1943
Pech,Pech,pech1241,Holt1999
Rama,Rama,rama1270,CIDCA1987
Terraba,Térraba,teri1250,Constenla2007
Tunebo,Tunebo,tune1260,Headland1997
