NUMBER	ENGLISH
1	I
2	all
3	and
4	animal
5	arrow
6	ash
7	at
8	back
9	bad
10	bark
11	because
12	belly
13	big
14	bird
15	black
16	blood
17	bone
18	breast
19	child
20	cloud
21	cold
22	correct
23	day
24	dirty
25	dog
26	dry
27	dull (as a knife)
28	dust
29	ear
30	earth
31	egg
32	eye
33	far
34	fat (noun)
35	father
36	feather
37	few
38	fingernail
39	fire
40	fish
41	five
42	flower
43	fog
44	foot
45	forest
46	four
47	fruit
48	full
49	good
50	grass
51	green
52	guts
53	hair
54	hand
55	he
56	head
57	heart
58	heavy
59	here
60	horn
61	how
62	husband
63	ice
64	if
65	in
66	knee
67	lake
68	leaf
69	left
70	leg
71	liver
72	long
73	louse
74	man
75	many
76	meat
77	moon
78	mother
79	mountain
80	mouth
81	name
82	near
83	neck
84	new
85	night
86	nose
87	not
88	old
89	one
90	other
91	person
92	rain
93	red
94	right
95	river
96	road
97	root
98	rope
99	rotten
100	round
101	salt
102	sand
103	sea
104	seed
105	sharp (as a knife)
106	short
107	skin
108	sky
109	small
110	smoke
111	smooth
112	snake
113	snow
114	some
115	star
116	stick
117	stone
118	straight
119	sun
120	tail
121	that
122	there
123	they
124	thick
125	thin
126	this
127	three
128	to bite
129	to blow
130	to breathe
131	to burn
132	to come
133	to count
134	to cut
135	to die
136	to dig
137	to drink
138	to eat
139	to fall
140	to fear
141	to fight
142	to float
143	to flow
144	to fly
145	to freeze
146	to give
147	to hear
148	to hit
149	to hold
150	to hunt
151	to kill
152	to know
153	to laugh
154	to lie (as in a bed)
155	to live
156	to play
157	to pull
158	to push
159	to rub
160	to say
161	to scratch
162	to see
163	to sew
164	to sing
165	to sit
166	to sleep
167	to smell
168	to spit
169	to split
170	to squeeze
171	to stab
172	to stand
173	to suck
174	to swell
175	to swim
176	to think
177	to throw
178	to tie
179	to turn (intransitive)
180	to vomit
181	to walk
182	to wash
183	to wipe
184	tongue (organ)
185	tooth
186	tree
187	two
188	warm
189	water
190	we
191	wet
192	what
193	when
194	where
195	white
196	who
197	wide
198	wife
199	wind
200	wing
201	with
202	woman
203	worm
204	year
205	yellow
206	you (plural)
207	you (singular)
