I	tàs	⊘	ra	nən, ˈnəʔən	ˈnəs
you (singular)	pa	⊘	ma	ma	ˈma
he	ãːɲã̀ʔ, éka, †awáʔá 	⊘	ɨˈna	a, ˈəʒa	ẽhiˈe
we	ũ̀tas 	<nábi>	nawi-ndina	ˈniwi	nasɨŋ
you (plural)	pahwã́niteh, paʔpaɾi	⊘	mawi-ndina	ˈmiwi	ˈmaiŋ 
they	éːkawã̀hã́	⊘	ihkɨˈna	iˈkəŋaʔ	ˈe-kkuẽ
this	ĩ- ~ ĩɲ, †ihĩː / ihiːɲ	<mahtembáyene>	ima	ˈeima	h-ˈalde
that	àʔa, ã́ka, †aʔani, †atá	<fúa>	me-ma nɨn-ka 	ʒɨka	tu-ˈalde
here	ĩjãh, ɲã́h-ã́	<enámba>	ima-mba	ˈemi, ˈənkeʔ 	h-ˈai
there	ã̀ːʃã́ʔ, aːɲã́h, ã̀jã́ 	<jiskú>	me-ku	ˈʒami, eˈmaʔba	ˈexə 
who	ĩ-jã, tá(ː)-	⊘	nene	ˈinɨ, ˈbema 	ˈmẽ
what	ĩ, ĩkàn, ĩráhẫh, †itaja 	⊘	ni	ˈinɨ	ˈhi
where	pì(j)áh, pijã́h-a	⊘	biɡu	bekɨ	ˈmijə, ˈmaʃi, ˈmani 
when	ã̀ːhĩ, ãhíːni, ĩ-kwáɾ	<chan>	buje	bin zar-i 	miˈʦə-k
how	ĩkàn	⊘	ɨnʒina	ˈazi	saˈki
not	⊘	<uá>	ə̃ʔə	ˈneki, ˈneʔki 	ə̃ʔə̃, nəldə-ˈɡəlde
all	kɾi, kɾikɾi, kɾiɾã́	⊘	kɨ-nɡwi	pin, ʒoᵘ	salˈdiŋə
many	peɾ(a), wéʔ	⊘	biɡˈwi, kumiŋʃa 	reʔˈmasi, zəɡuˈro 	məˈʧuwi
some	aɾwéʔwa, ásná	⊘	⊘	⊘	⊘
few	ikína, poːkmã́jh	<uü>	ˈunɡwɨzi	inˈɡɨ	ˈnãuwə ˈme 
other	àːkwa, akwáh	<eingüi>	inˈɡwi-nɨn-ka, ɨndua 	ˈinʔɡwi, əʤwa 	ˈezua-ne, aˈxauʧi
one	ás	⊘	inɡwi	ˈinʔɡwi	ˈezua
two	póːk	<moga>	mowa	ˈmoᵘɡa	ˈmoʒũa
three	mã̀jh/mã́jh	<ména>	majɡwa	ˈmaikənɨ	ˈmaiɡũə
four	kàh	<makéua>	makeɡwa	maʔˈkeiwa	məkˈkãiwa
